record_id,trial_id,channel,hard_ok,clip_samples_in_support,flat_samples_in_support,ptp,jump,baseline_scale,drift_abs,rejection_reasons
VisualCogB_Task-1,VisualCogB_Ta:037,F3,True,0,0,498.69535362783233,48.95094224460206,31.084037537194007,317.769130998703,
VisualCogB_Task-1,VisualCogB_Ta:037,F4,True,0,0,789.8374914168003,25.543602655069662,24.568606088349732,236.2249179827574,
VisualCogB_Task-1,VisualCogB_Ta:038,Fz,True,0,0,512.9167620355533,23.224231326772042,27.057138933394103,258.4725719081407,
VisualCogB_Task-1,VisualCogB_Ta:038,F3,True,0,0,492.439154650187,45.41084916456862,31.807974364843183,213.0922407873656,
VisualCogB_Task-1,VisualCogB_Ta:038,F4,True,0,0,365.54512855725955,27.588311589227033,22.713517967498202,254.84092469672697,
VisualCogB_Task-1,VisualCogB_Ta:039,Fz,True,0,0,783.0319676508738,42.51163500419625,72.57466697184718,258.60990310521095,
VisualCogB_Task-1,VisualCogB_Ta:039,F3,True,0,0,427.5577935454338,58.62516212710773,17.645960173952954,56.06164644846268,
VisualCogB_Task-1,VisualCogB_Ta:039,F4,True,0,0,348.7602044708933,48.24902723735397,16.01710231174176,221.27107652399485,
VisualCogB_Task-1,VisualCogB_Ta:040,Fz,True,0,0,151.88830395971627,23.651483939879427,11.085282673380512,113.78652628366524,
VisualCogB_Task-1,VisualCogB_Ta:040,F3,True,0,0,172.79316395819046,28.381780727855357,7.918059052414628,11.79522392614632,
VisualCogB_Task-1,VisualCogB_Ta:040,F4,True,0,0,160.49439230945302,24.597543297474544,9.637409018081991,57.78591592278934,
VisualCogB_Task-1,VisualCogB_Ta:041,Fz,True,0,0,595.1934081025407,34.729533836881046,6.515431448844105,33.722438391699086,
VisualCogB_Task-1,VisualCogB_Ta:041,F3,True,0,0,517.3418783855954,31.52513923857498,8.053797207598963,14.038300144960658,
VisualCogB_Task-1,VisualCogB_Ta:041,F4,True,0,0,168.2154573891812,34.94316014343485,7.3298603799496185,17.807278553444746,
VisualCogB_Task-1,VisualCogB_Ta:042,Fz,True,0,0,749.6147096971083,22.15609979400324,15.021689173723994,259.7390707255665,
VisualCogB_Task-1,VisualCogB_Ta:042,F3,True,0,0,578.4084840161746,33.60036621652546,42.531288624399025,180.5142290379187,
VisualCogB_Task-1,VisualCogB_Ta:042,F4,True,0,0,559.8229953459985,24.04821850919359,25.790249485008086,106.37064164187069,
VisualCogB_Task-1,VisualCogB_Ta:043,Fz,True,0,0,229.5262073701076,27.161058976119648,7.782320897230459,59.92217898832689,
VisualCogB_Task-1,VisualCogB_Ta:043,F3,True,0,0,171.38933394369417,33.295185778591645,8.144289311055132,104.44800488288695,
